What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,When is your birthday (date)?,What is your stress level (0-100)?,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
AI,yes,no,no,no,female,02-05-1998,0,23:00,coffee,sun
CS,yes,no,no,no,male,29-02-2000,200,32,7777,8964
CLS,yes,yes,no,yes,male,29-06-1998,0,x,0,0
Bioinfo,yes,no,unknown,no,male,11-05-1997,20,14:00,good food,no stress
AI,yes,yes,no,yes,male,03-10-1997,2,07:20,Sunshine,Good Food
AI,no,unknown,yes,unknown,female,,48,2130,This lecture,Sun
AI,yes,no,unknown,no,male,15-10-1998,20,00:35,sunshine,happiness
AI,yes,no,unknown,yes,male,,100,23,Rainy Day,Weekend
FinTech,yes,no,no,yes,male,,20,23:00,Food,Relaxation
AI,no,no,no,yes,female,21-07-2000,50,12 hours,"sun, friends and wine","relaxing, watching a show, hockey"
AI,no,no,no,no,male,29-05-1998,60,Banana,Coffee,Not coffee
BA,yes,yes,unknown,yes,female,,50,00:00,sun,holiday
AI,yes,yes,no,yes,male,,5000,to be?,drugs,beer
AI,yes,no,no,yes,male,22-02-1999,70,12:00,Good mental state.,A challenge.
Other,yes,yes,no,yes,male,,over 9000,4 years ago,6,9
AI,no,no,yes,no,male,,98,noon,food,sleeping
AI,no,unknown,no,yes,female,11-11-1999,34,12:55,Having a fun lecture,Hanging out with my friends
AI,yes,no,no,yes,male,22-04-1994,70,12,Flat white,sun
Econometrics & Operations Research,yes,no,no,no,male,30-01-1997,15,12,food,tv series
FinTech,yes,no,no,no,male,23-08-1999,60,20:00,sun,good food
CS,yes,yes,unknown,yes,female,10-07-1998,1000,definitely 7,sun,wind:(
AI,unknown,no,no,no,female,03-11-1995,10,03:00,Friends,Water
AI,yes,yes,no,yes,female,08-05-1998,90,Ja,Happy,Faces
Bioinfo,yes,no,no,yes,male,,1,2.30AM,See you smile,Monk
BA,yes,unknown,no,no,female,30-03-1998,70,Yellow,Having my favorite meal :),Getting enough sleep
CLS,no,no,no,yes,male,01-09-1998,56,23:32,Head,Good weather
CLS,yes,no,no,no,female,07-09-1997,69,?,A good balance between productivity and rest,A good night of sleep
CLS,no,no,no,no,male,19-06-1998,33,23.3,Good food,Good weather
Other,yes,no,no,no,female,26-08-1997,80,12:30,Sunnnn,Croissant
AI,yes,no,no,no,female,,10,90,alcohol,relax
Econometrics & Operations Research,yes,no,no,no,male,01-01-1900,100,23,Datamining,Datamining2
AI,no,no,yes,no,female,01-04-2022,90,5,food,sleep
AI,no,no,yes,yes,male,14-05-1996,70,5,Weather,Beer
CS,yes,yes,no,yes,male,,69,?,1,1
AI,yes,yes,no,yes,male,02-11-1996,69,1.3,Working hard,Playing volleyball
AI,yes,yes,no,yes,male,02-10-1998,45,01:34,Sunshine,Friends
Econometrics & Operations Research,yes,no,no,yes,male,09-06-1998,7,09:00,Beer,Ajax
AI,yes,yes,unknown,no,female,,33,midnight,good night of sleep,good food
CLS,no,no,yes,no,female,27-06-1998,40,huh,Good weather,Nice people around
AI,no,no,no,no,male,,101,Yesterday,Saturday,Saturday
AI,no,no,no,no,female,10-06-1998,70,11,Seeing Friends,Nice weather
Other,yes,unknown,no,yes,male,30-08-1997,20,23:30,Satisfaction,Spare time
Econometrics & Operations Research,yes,no,no,yes,male,,60,1,2,4
CLS,yes,no,unknown,no,male,08-05-1998,0,23:00,sun,beach
AI,yes,yes,no,yes,male,09-04-1997,20,200,sun,holiday
Bioinfo,yes,no,no,no,male,01-01-1997,10,Today,Chocolate,Clear skies
AI,no,no,no,no,male,22-07-1992,50,Haha,Yes,No
CLS,yes,no,no,yes,female,03-04-2000,5,4,sun,gym
AI,no,no,yes,unknown,not willing to answer,07-09-1999,88,01:00,Snacks,Good grades
AI,yes,unknown,no,yes,female,30-08-1999,60,10:00 PM,With family and loved ones,Being in good health
BA,yes,yes,no,yes,male,15-03-2000,75,23:45,Sun,Sleep
AI,yes,yes,no,yes,male,24-06-1998,69,24,Beer,More beer
AI,yes,no,no,no,intersex,15-02-1974,34,12,Cookies,I don't know 
Bioinfo,yes,no,yes,no,male,,50,Yes,Food,Food
CS,yes,unknown,no,yes,female,02-07-1997,99,,Biking ,Books
Bioinfo,yes,no,unknown,no,male,,99,00:34,waking up early,finishing things for the day
AI,yes,no,no,yes,male,19-10-1998,30,13:15,Gym,Friends
Econometrics & Operations Research,yes,yes,no,yes,male,,50,7,whole lotta bread,good wave check
AI,yes,no,no,yes,male,19-02-1998,20,Gym,Food,Good coffee
AI,no,no,no,no,gender fluid,08-08-1997,69,2,420,69
CLS,no,no,no,no,male,28-07-1997,40,22:30,Free food,Free coffee
AI,yes,no,yes,no,male,15-12-1995,1,15:30,Sunshine,Chocolate Milk
Bioinfo,yes,no,unknown,no,female,05-12-1997,65,12,sleep,eat
CS,no,no,no,yes,not willing to answer,01-01-2001,999,yes,alive,awake
Econometrics & Operations Research,no,no,yes,no,female,,80,11pm,sun,not rain
CS,yes,no,no,yes,male,12-07-1999,10,2:00 AM,Sunshine,Good sex
CS,yes,yes,no,yes,male,12-09-1999,100,2300,No deadlines/exam,Good weather
BA,yes,yes,no,yes,male,06-12-1994,99,0530 am,waking up ,eating
CS,no,no,no,no,male,20-08-1999,200,12,Food,Sleep
QRM,no,no,no,no,male,06-12-1997,1.00E+22,13:12,alcohol,10
Other,yes,no,no,unknown,male,10-07-1995,42,1,Good food and sports,Friends
Other,no,no,no,no,male,06-09-1997,80,4 o' clock,being stoic,accepting change
CLS,no,no,no,yes,male,03-03-1997,50,04:35,game,beautiful girl
CLS,no,no,no,no,male,,100,12,Kissing thomas,Alcohol 
AI,yes,no,no,no,male,20-11-1998,50,02:00,Sex,Sex
CLS,yes,yes,unknown,yes,male,,10,12:00,Reading,Music
AI,yes,no,unknown,no,male,20-03-1998,61,Wot,Cake,Pie
CS,yes,unknown,no,yes,male,,100,10:45,No lectures ,No assignments 
BA,yes,yes,no,no,female,19-05-1996,89,20.09,Food,Completed to-do's
AI,yes,no,no,no,male,,1000,00:00,Beer,Beer
AI,yes,yes,no,no,female,13-02-2001,yes.,10,Frozen yoghurt,Coffee
CS,no,yes,no,yes,male,24-01-1999,100,22:00,Eat food ,Sleep 
BA,yes,unknown,no,yes,male,04-04-1999,10,24,Chocolate ,Sun
CS,yes,no,no,yes,male,01-03-1997,0,12,Passing assignments ,Passing exams
HLT,yes,no,unknown,no,female,,80,12:45,no homework,earn money
AI,yes,yes,unknown,no,female,31-05-2000,60,23,Sun,Day off
Econometrics & Data Science,yes,no,unknown,yes,male,,30,7 hours,No complications,Sport
CLS,no,no,no,no,female,01-01-1900,150,12,chocolate,more chocolate
CS,yes,no,no,yes,male,27-03-1998,100,12.15,Playing,Studying 
AI,no,unknown,unknown,no,gender fluid,,Over 9000,Ω,Χρεσης,Φετα
QRM,no,no,no,no,female,04-08-1998,80,9.00 am,Good sleep,No class
AI,yes,yes,no,yes,male,,1000,I do not know,sun,sun x 2
CS,yes,yes,no,yes,male,,40,10:00,Food,Sleep
Bioinfo,yes,no,no,no,female,,10,00:45,food,friends
AI,yes,yes,no,yes,female,08-06-1999,100,11.30pm,coffee,pasta
CS,no,unknown,unknown,no,male,01-12-1982,10,6,Good coffee,Challeging works
BA,yes,no,yes,yes,female,21-10-2000,60,23:00,Sun,Food
AI,yes,no,no,no,male,11-03-1998,44,10:21:39,EDDA grades,sun
AI,yes,no,no,yes,not willing to answer,20-04-1969,3,04:20,Surveys,Data mining
Other,unknown,yes,yes,yes,male,25-10-1998,101,idk,no dues,no school
AI,no,no,no,no,male,08-03-1999,100,00:55,Love 😓,Friends
CS,yes,no,unknown,yes,not willing to answer,11-02-1999,10,23:30,Xtc,Money
CS,yes,yes,no,yes,male,13-10-1995,50,12,Kafeneion Amsterdam ,More Kafeneion Amsterdam 
CS,no,yes,no,yes,female,03-04-1997,20,today,sleep,date
AI,yes,yes,no,yes,female,22-11-1998,5,100,Sunshine,Free time
CS,yes,yes,no,yes,female,,5,23:30,a nice dinner,the sun
CS,yes,no,yes,yes,male,07-04-1998,10,01:30,Fun people,Beer
Bioinfo,yes,no,no,yes,male,04-09-1997,0,21:20,food,sleep
AI,no,no,no,yes,female,20-10-1996,40,2am,Flow state,Good food
CS,yes,unknown,no,yes,female,,40,45,1,1
AI,yes,no,no,yes,female,01-01-1998,0,3AM,food,being with the people i love
AI,yes,no,no,yes,female,25-03-1999,3,23:30,Coffee,Food
CLS,no,no,no,no,male,08-05-1998,69,01:30,Sun,Wine
QRM,yes,no,no,no,male,,Next question,Dizzy Miss Lizzy was a terrible song to end Help! with,Double fudge brownies,Angela
AI,yes,no,no,yes,male,,1,02:20,Sun,Weekend
CLS,unknown,unknown,unknown,unknown,female,01-01-2000,10,1,sun,friends
AI,yes,no,no,yes,female,08-08-1998,14,23:00,Party,Tennis
AI,no,yes,no,no,male,26-09-1998,69,05:00,sleep,deliocious food
AI,no,no,no,yes,male,29-04-1991,40,1am,Beers,Movies
CLS,no,no,no,no,male,,0,0,Lasagne,More lasagne
AI,yes,unknown,no,yes,male,18-12-1997,30,20.3,Food football and sleep,Gym study and drinks
AI,yes,yes,no,yes,female,08-07-1997,60,1.3,Traveling with friends ,Eating with family 
CS,no,no,no,no,male,12-04-2000,60,23:00,Nice weather,Good food
AI,yes,yes,no,no,male,,50,23:00,Coffee,Friends
CLS,no,no,no,yes,male,,40,02:30,Lack of stress,Feeling productive
AI,yes,no,yes,yes,female,24-02-1997,30,11:30,SUNSHINE 😭,Laughter 
Other,yes,unknown,no,no,male,01-01-1900,75,11:45,Pizza,WFH
Bioinfo,yes,no,no,no,male,,yes,00:40,Sushi,Anime
AI,yes,no,no,yes,female,17-08-1998,68,00:15,friends,sun
BA,yes,yes,no,yes,female,22-07-1999,22,07:00,Food,A smile
AI,no,no,no,no,female,30-10-1997,70,00:07,sun,sex
AI,yes,no,no,no,female,25-04-1997,30,23pm,food,love
AI,no,yes,unknown,yes,gender fluid,,-69,04:15,music,videogames
Bioinfo,yes,no,no,unknown,female,16-02-1998,47,4am,good food,sun
Finance,no,no,no,no,male,02-04-1996,45,01:53,Sun ,Rain
AI,no,no,no,no,male,18-03-1996,75,00:00,Sports,Meditation
CS,no,no,yes,yes,male,22-05-1996,10,1:00 AM,Good food,Good sex
Bioinfo,yes,no,no,no,male,,80,1,8 hours of sleep ,no stress about uni
BA,yes,no,no,yes,female,11-10-1999,40,00:00,Hours of sleep,Good food
CLS,yes,unknown,no,yes,not willing to answer,,80,03:00,Spending time with friends,Free time 
CS,yes,yes,no,yes,male,,10,01:00,Friends,Food
Econometrics & Data science,yes,no,no,no,male,23-11-1996,33,01:00,good food,feyenoord winning
AI,yes,no,no,no,male,16-07-1998,70,0.2,Good night,Fun stuff to do
AI,yes,unknown,no,no,male,19-10-1997,30,01:00,coding,food
Data Science ,yes,yes,no,no,female,,34,0:15h,Sleep,More Sleep
BA,yes,yes,no,yes,female,,20,23:00,Sun,Friends
AI,yes,unknown,no,yes,male,,60,23:00,Free,Warmth
AI,no,no,no,no,male,18-04-1998,70,4.3,food,sleep
AI,yes,yes,no,yes,male,,20,23.3,Laughter,Friends
AI,no,no,no,no,male,12-11-1996,75,23:00,Sunny,Vacation
AI,no,yes,no,yes,male,,20,12:00 AM,Productive,good times with friends and family
Econometrics & Operations Research,no,no,no,no,male,19-04-1999,15,23,Sex,Sports
Econometrics & Operations Research,no,no,no,no,female,,100,03:00,feeling content,not too much stress
Econometrics & Operations Research,no,no,no,yes,male,21-04-1995,0,2230,Sports,Drinking
CLS,no,no,yes,no,male,,20,1am,A nice deep sleep,working out in the gym
CS,no,no,no,yes,male,16-10-1998,80,06:00,good sleep,good dinner
AI,yes,no,no,yes,female,16-07-1994,36,21:43,Good food,Sunshine
Bioinfo,yes,no,no,no,male,08-10-1999,50,23:45,Get up early,Don’t drink day before
Bioinfo,yes,no,yes,no,male,14-04-1999,40,01:00,Sun,Food
BA,yes,yes,no,yes,female,18-02-1999,60,23.45,Friends,Nice weather
BA,yes,unknown,no,yes,female,13-07-1998,12,00:12,Friends,Party
Other,no,no,no,no,female,22-10-1998,60,23:00,Stresslevel,Social interaction
AI,no,no,no,no,female,,70,23:00,A lot of sleep,Time to read 
Bioinfo,yes,no,no,no,female,12-10-1998,70,2:00am,Sun,good meal
QRM,no,no,yes,no,male,,75,12:00,Sunny,Beer
AI,yes,yes,no,yes,female,18-06-1999,60,23:00,exercise,good food
AI,yes,no,unknown,yes,male,15-08-1995,100,9:00 AM,Green,Food
AI,unknown,no,unknown,yes,male,31-12-1999,100,02:00,Chocolate,Freedom
BA,yes,yes,no,yes,female,27-04-1997,20,22.3,Food,Friends
AI,yes,no,no,no,male,06-07-1997,1,11:30,Nice weather,No EDDA
AI,yes,no,no,yes,not willing to answer,11-11-1900,69,12:00 AM,Beer,Sunday funday
Econometrics & Operations Research,no,no,no,no,male,12-12-1996,85,22:00,weather,no work
Bioinfo,yes,unknown,no,yes,female,03-06-1996,0,22:00,Food,Sleep
BA,yes,no,no,no,female,27-01-1998,50,23:28,Good night of sleep,Low stress level
AI,yes,no,no,yes,female,26-02-1999,55,05:30,SUN,drinks with friends
CS,no,no,no,yes,male,,23,12,Successful debugging,Seeing my girlfriend 
CS,no,yes,yes,yes,male,,40,2,Good Sleep,Diet on point
AI,yes,no,no,no,male,01-10-1996,70,23:00,Being with friends,Eating good food
HLT,yes,yes,yes,yes,male,,7.5,22:30,Chocolate,Sun
Econometrics & Operations Research,yes,no,no,yes,female,15-07-1999,70,22:30,Sports,Activity
BA,yes,no,no,no,male,,11,8:00 PM,A dm lecture,A dm QA
Bioinfo,yes,no,no,no,male,19-03-1995,70,02:00,coffee in the morning,beer in the evening
Other,yes,no,yes,no,male,,100,2,3,2
AI,unknown,yes,no,no,male,24-08-1996,11,22:09,I don't know,I really don't know
CLS,yes,no,no,yes,male,21-06-1997,1,00:30,Applying data mining techniques,Netflix with girlfriend
CS,yes,no,no,yes,male,02-07-1999,80,00:00,no class,no homework
BA,yes,unknown,no,no,female,,60,23:00,no stress from school,go to restaurant
CS,yes,yes,no,yes,female,12-10-1994,80,1,my cat purs on me,seeing sun in Netherlands
CLS,no,no,no,no,male,27-08-1998,30,00:00,Nice weather,Social interaction 
Other,yes,no,unknown,yes,female,17-06-1997,59,2am,Sunshine,Plan
BA,yes,no,no,yes,male,,2,23:00,Sun,BBQ
AI,no,no,no,no,female,,60,23:50,no lecture,no home assignment
CLS,no,yes,no,yes,female,12-03-2004,23,22:00,time for myself,bouldering
AI,no,no,no,yes,female,,40,23:40,socializing,productivity
Econometrics & Operations Research,no,no,no,yes,female,28-08-1999,20,23;00,Sunny weather,-
AI,no,no,no,yes,female,13-01-1997,40,12.3,Friends,Happy moments
CS,yes,no,no,yes,male,,100,,Mood,Weather
BA,yes,unknown,no,no,male,,20,100,blue sky with a shiny sun,Knowing i have a spare day
AI,no,no,unknown,yes,male,08-12-1998,37,2,Sun and park,Sun and chill
AI,no,no,no,no,female,21-12-1995,1,23.34,sunshine ,fun stuff on the planning
QRM,no,no,no,yes,gender fluid,,102,To be or not to be?,Wakker worden naast Lieke,Geen ontbijt met Jan
Bioinfo,yes,no,yes,no,male,17-10-2000,12,02:34,No obligations,Games
AI,no,no,no,no,female,12-07-1991,80,1,SUN,fun
AI,no,no,no,no,female,12-12-1997,50,3,Sunny weather,Feeling in tune with yourself and your surroundings
CS,no,no,no,no,male,13-08-1999,50,01:30,warm weather,not having to get up early
AI,no,no,no,no,male,,15,01:00,no work,good food
CLS,no,no,no,no,female,07-11-1997,29,15,Coffee,My bed
QRM,no,no,no,yes,male,01-01-1991,80,23:00,Sun,Food
